"id","directors"
2162,"nm0002030"
2162,"nm0939992"
5502,"nm0226189"
2702,"nm0000033"
5715,"nm0001843"
3412,"nm0001008"
3573,"nm0523932"
5352,"nm0221423"
3675,"nm0001328"
4144,"nm0103975"
5995,"nm0909825"
1819,"nm0019282"
1819,"nm0035899"
1819,"nm1968474"
1819,"nm0272568"
1819,"nm0359457"
1819,"nm0359610"
1819,"nm0373429"
1819,"nm0414144"
1819,"nm0527217"
1819,"nm0730860"
1819,"nm0766402"
1819,"nm0789313"
5405,"nm0000406"
5409,"nm0000122"
2384,"nm0001328"
141,"nm0554249"
5849,"nm0825596"
6403,"nm0569697"
1122,"nm0000080"
1561,"nm0281808"
1624,"nm0035899"
1624,"nm0272568"
1624,"nm0414144"
1624,"nm0455741"
1624,"nm0730860"
1624,"nm0789313"
1624,"nm0254675"
2373,"nm0909825"
2466,"nm0000406"
5595,"nm0002545"
5659,"nm0943758"
3397,"nm0000033"
3968,"nm0736610"
4348,"nm0001328"
4749,"nm0002545"
6544,"nm0792605"
6272,"nm0905729"
5198,"nm0363356"
1653,"nm0587277"
2395,"nm0762263"
2395,"nm0020980"
5704,"nm0000080"
5704,"nm0281381"
5704,"nm0936404"
3415,"nm0943758"
5857,"nm0002545"
2814,"nm0003506"
6872,"nm0002031"
616,"nm0385171"
1441,"nm0782682"
1441,"nm0258015"
1947,"nm0939992"
2320,"nm0523932"
2526,"nm0869664"
5648,"nm0003836"
5648,"nm0696247"
4913,"nm0902082"
159,"nm0908831"
3694,"nm0596410"
5851,"nm0920074"
4378,"nm0000033"
1355,"nm0003433"
479,"nm0001008"
5153,"nm0627864"
1544,"nm0000697"
5002,"nm0943758"
2947,"nm0695937"
2947,"nm0541149"
3432,"nm0229424"
4753,"nm0802862"
6339,"nm0086251"
6806,"nm0454771"
6278,"nm0000485"
407,"nm0163229"
898,"nm0000180"
1469,"nm0075318"
1096,"nm0138893"
1359,"nm0211459"
1359,"nm0004531"
1359,"nm0656496"
1359,"nm0899581"
5691,"nm0000697"
3304,"nm0002031"
4295,"nm0000485"
6157,"nm0272568"
6157,"nm0314671"
6157,"nm0455741"
6157,"nm0730860"
6157,"nm0949597"
1434,"nm0002158"
2621,"nm0946391"
3162,"nm0179994"
3162,"nm0314671"
3162,"nm0455741"
3162,"nm0527217"
3162,"nm0575008"
