"id","genres"
317,"Family"
317,"Romance"
318,"Action"
318,"Comedy"
318,"Crime"
319,"Adventure"
319,"Animation"
319,"Comedy"
320,"Biography"
320,"Drama"
320,"Music"
321,"Drama"
322,"Comedy"
322,"Drama"
323,"Action"
323,"Adventure"
323,"Drama"
324,"Horror"
325,"Action"
325,"Drama"
325,"War"
326,"Comedy"
327,"Drama"
327,"Romance"
328,"Horror"
328,"Mystery"
328,"Thriller"
329,"Drama"
329,"Film-Noir"
330,"Drama"
330,"History"
330,"Thriller"
331,"Drama"
331,"Romance"
331,"Western"
332,"Drama"
332,"Romance"
332,"Sport"
333,"Biography"
333,"Comedy"
333,"Drama"
334,"Drama"
335,"Action"
335,"Adventure"
335,"Comedy"
336,"Horror"
336,"Sci-Fi"
336,"Thriller"
337,"Adventure"
337,"Comedy"
337,"Drama"
338,"Adventure"
338,"Comedy"
338,"Western"
339,"Comedy"
339,"Drama"
339,"Romance"
340,"Drama"
341,"Drama"
341,"Thriller"
342,"Comedy"
342,"Romance"
343,"Crime"
344,"Adventure"
344,"Animation"
344,"Comedy"
345,"Biography"
345,"Crime"
345,"Drama"
346,"Drama"
346,"Mystery"
346,"Sci-Fi"
347,"Horror"
347,"Sci-Fi"
347,"Thriller"
348,"Horror"
348,"Mystery"
348,"Sci-Fi"
349,"Adventure"
349,"Comedy"
349,"Family"
350,"Adventure"
350,"Comedy"
350,"Family"
351,"Adventure"
351,"Comedy"
351,"Family"
352,"Thriller"
353,"Biography"
353,"Drama"
353,"Music"
354,"Comedy"
354,"Crime"
354,"Drama"
355,"Comedy"
356,"Comedy"
356,"Sci-Fi"
357,NA
358,"Comedy"
358,"Romance"
359,"Comedy"
359,"Romance"
360,"Documentary"
361,"Drama"
362,"Comedy"
362,"Music"
363,"Biography"
363,"Crime"
363,"Drama"
364,"Crime"
364,"Drama"
364,"Mystery"
365,"Comedy"
365,"Drama"
366,"Crime"
366,"Drama"
367,"Crime"
367,"Drama"
368,"Thriller"
369,"Comedy"
369,"Documentary"
370,"Action"
370,"Comedy"
370,"Drama"
371,"Action"
371,"Western"
372,"Crime"
372,"Drama"
372,"Mystery"
373,"Comedy"
374,"Comedy"
375,"Crime"
375,"Drama"
375,"Horror"
376,"Comedy"
377,"Biography"
377,"Comedy"
377,"Drama"
378,"Comedy"
379,"Comedy"
380,"Horror"
381,"Horror"
381,"Thriller"
382,"Drama"
382,"Thriller"
383,"Drama"
384,"Crime"
384,"Horror"
384,"Mystery"
385,"Drama"
385,"Family"
386,"Drama"
386,"Romance"
387,"Biography"
387,"Crime"
387,"Drama"
388,"Drama"
388,"Musical"
388,"Romance"
389,"Adventure"
389,"Animation"
389,"Comedy"
390,"Adventure"
390,"Animation"
390,"Family"
391,"Comedy"
391,"Fantasy"
391,"Horror"
392,"Comedy"
392,"Fantasy"
392,"Horror"
393,"Comedy"
393,"Drama"
394,"Documentary"
395,"Crime"
395,"Drama"
395,"Mystery"
396,"Drama"
396,"Romance"
397,"Drama"
397,"Family"
397,"Romance"
398,"Action"
398,"Adventure"
398,"Horror"
399,"Action"
399,"Adventure"
399,"Horror"
400,"Comedy"
400,"Crime"
401,"Comedy"
401,"Crime"
402,"Adventure"
402,"Animation"
402,"Drama"
403,"Drama"
404,"Comedy"
405,"Comedy"
406,"Horror"
406,"Mystery"
406,"Thriller"
407,"Crime"
407,"Drama"
407,"Mystery"
408,"Biography"
408,"Drama"
408,"History"
409,"Crime"
409,"Drama"
409,"Horror"
410,"Horror"
410,"Mystery"
410,"Thriller"
411,"Comedy"
411,"Drama"
411,"Fantasy"
412,"Biography"
412,"Drama"
413,"Action"
413,"Mystery"
413,"Thriller"
414,"Crime"
414,"Drama"
414,"Film-Noir"
415,"Comedy"
416,"Horror"
416,"Thriller"
417,"Comedy"
417,"Drama"
417,"Romance"
418,"Comedy"
418,"Family"
418,"Musical"
419,"Animation"
419,"Drama"
420,"Crime"
420,"Drama"
420,"Thriller"
421,"Animation"
422,"Crime"
422,"Drama"
423,"Comedy"
424,"Drama"
424,"History"
424,"Romance"
425,"Drama"
425,"Romance"
426,"Drama"
426,"Romance"
426,"Sport"
427,"Drama"
428,"Comedy"
428,"Romance"
429,"Drama"
429,"Thriller"
430,"Action"
430,"Comedy"
430,"Crime"
431,"Drama"
431,"Mystery"
431,"Romance"
432,"Comedy"
432,"Romance"
433,"Comedy"
433,"Crime"
434,"Comedy"
434,"Romance"
435,"Action"
435,"Comedy"
435,"Sci-Fi"
436,"Drama"
436,"Horror"
436,"Mystery"
437,"Crime"
437,"Drama"
437,"Romance"
438,"Drama"
438,"Horror"
438,"Thriller"
439,"Thriller"
440,"Horror"
440,"Mystery"
440,"Sci-Fi"
441,"Adventure"
441,"Animation"
441,"Comedy"
442,"Documentary"
443,"Action"
443,"Comedy"
444,"Comedy"
444,"Romance"
445,"Biography"
445,"Drama"
445,"Family"
446,"Horror"
447,"Horror"
447,"Thriller"
448,"Drama"
448,"Mystery"
448,"War"
449,"Action"
449,"Adventure"
449,"Drama"
450,"Adventure"
450,"Drama"
450,"History"
451,"Horror"
451,"Mystery"
451,"Sci-Fi"
452,"Action"
452,"Crime"
452,"Drama"
453,"Action"
453,"Adventure"
453,"Animation"
454,"Action"
454,"Adventure"
454,"Animation"
455,"Horror"
455,"Mystery"
456,"Action"
456,"Adventure"
456,"Fantasy"
457,"Comedy"
457,"Family"
457,"Fantasy"
458,"Adventure"
458,"Fantasy"
459,"Drama"
459,"Thriller"
460,"Drama"
461,"Comedy"
461,"Family"
462,"Adventure"
462,"Comedy"
462,"Family"
463,"Comedy"
463,"Drama"
464,"Horror"
464,"Mystery"
464,"Sci-Fi"
465,"Action"
466,"Biography"
466,"Drama"
466,"History"
467,"Sci-Fi"
468,"Comedy"
468,"Drama"
468,"Fantasy"
469,"Action"
469,"Crime"
469,"Drama"
470,"Drama"
471,"Action"
471,"Comedy"
471,"Crime"
472,"Action"
472,"Crime"
472,"Mystery"
473,"Action"
473,"Adventure"
473,"Comedy"
474,"Comedy"
474,"Horror"
475,"Documentary"
476,"Drama"
476,"War"
477,"Action"
477,"Drama"
477,"Romance"
478,"Adventure"
478,"Drama"
478,"Romance"
479,"Comedy"
479,"Crime"
479,"Thriller"
480,"Drama"
481,"Comedy"
481,"Drama"
481,"Romance"
482,"Comedy"
482,"Romance"
483,"Adventure"
483,"Animation"
483,"Family"
484,"Adventure"
484,"Animation"
484,"Comedy"
485,"Adventure"
485,"Animation"
485,"Family"
486,"Adventure"
486,"Animation"
486,"Comedy"
487,"Comedy"
487,"Drama"
488,"Drama"
489,"Comedy"
489,"Drama"
489,"Romance"
490,"Drama"
491,"Drama"
491,"Romance"
491,"War"
