"id","tconst","directors","writers"
4089,"tt0018316","nm0783461","nm0397963,nm0018470"
5986,"tt0018328","nm0000033","nm0000033,nm0720904"
6493,"tt0018512","nm0806061","nm0167769,nm0307819,nm0469166,nm0494673"
6816,"tt0018578","nm0920074,nm0195496","nm0766850,nm0521002,nm0510024,nm0425456,nm0604526"
1420,"tt0018821","nm0086486",NA
5866,"tt0019254","nm0003433","nm0217865,nm0003433"
5868,"tt0019257","nm0523932","nm0241227,nm0425456,nm0473134,nm0580692,nm0627012"
5885,"tt0019273","nm0414985","nm0339326,nm0428219"
4486,"tt0019398","nm0383304","nm0165470,nm0307819,nm0469166,nm0614225"
920,"tt0019732","nm0671501","nm0066247,nm0388554"
1336,"tt0019804","nm0916125","nm0622435"
2039,"tt0019908","nm0917857","nm0288742,nm0170401,nm0066946,nm0823523"
5537,"tt0020025","nm0733208","nm0506349,nm0641018,nm0889172"
3534,"tt0020216","nm0499883","nm0175028,nm0191885,nm0449527"
4700,"tt0020454","nm0258015","nm0903079,nm0522871,nm0823523"
6359,"tt0020499","nm0903049","nm0299154,nm0299153,nm0542534,nm0903049,nm0000581"
6273,"tt0020596","nm0498174","nm0026639,nm0425456"
418,"tt0020640","nm0373511","nm0442151,nm0753452,nm0436095,nm0748438"
2394,"tt0020985","nm0341486","nm0058129,nm0413590"
2795,"tt0021017","nm0624756","nm0119378"
3678,"tt0021219","nm0878338","nm0660923,nm0494964,nm0226501,nm0860374"
6737,"tt0021543","nm0480677","nm0011343,nm0167424,nm0949130"
5350,"tt0021890","nm0587277","nm0372942,nm0531269,nm0179993,nm0496468"
2867,"tt0022029","nm0782682","nm0089342,nm0430756,nm0673585"
5710,"tt0022111","nm0215877","nm0358591,nm0298494,nm0391763,nm0399203"
3299,"tt0022148","nm0941562","nm0388554,nm0424309"
5937,"tt0022286","nm0920074","nm0321891,nm0109148,nm0857710"
4485,"tt0022400","nm0853130","nm0114602,nm0570305,nm0629580,nm0629862,nm0726346"
1430,"tt0022808",NA,NA
1982,"tt0022913","nm0115218","nm0730317,nm0325135,nm0330390,nm0090213,nm0531269,nm0941138"
2501,"tt0023042","nm0503777","nm0122859,nm0337914,nm0391763,nm0316807"
2961,"tt0023126","nm0909398","nm0712653"
5830,"tt0023293","nm0001843","nm0697362,nm0506349,nm0792670"
4843,"tt0023551","nm0886754","nm0123194,nm0401738,nm0637040"
6602,"tt0023649","nm0003433","nm0494257,nm0432143,nm0003433"
6780,"tt0023694","nm0356931","nm0922951,nm2690196"
696,"tt0023796","nm0416861","nm0591791,nm0416861"
886,"tt0023841","nm0293260","nm0934497,nm0669840,nm0340540,nm0928944,nm0298828,nm0304321,nm0430651,nm0567346,nm0648688,nm0810367"
1614,"tt0023969","nm0564970","nm0436095,nm0748438,nm0790654,nm0674759"
1770,"tt0023994","nm0205317","nm0575197,nm0707677"
3715,"tt0024423","nm0386785",NA
6920,"tt0024803","nm0897118","nm0897118"
4929,"tt0024819","nm0595451","nm0556945,nm0373511,nm0923585,nm0055693"
2904,"tt0024844","nm0897118","nm0347447,nm0729960,nm0897118"
2155,"tt0025189","nm0366781","nm0889172"
2555,"tt0025301","nm0821472","nm0403595,nm0403398,nm0002545,nm0242850,nm0274923,nm0318341,nm0373511,nm0556945,nm0650338,nm0725017"
2671,"tt0025316","nm0001008","nm0728307,nm0011343"
5722,"tt0025452","nm0000033","nm0071657,nm0943922,nm0339326,nm0712653,nm0930539"
3184,"tt0025465","nm0260871","nm0821131"
5856,"tt0025617","nm0092915","nm0576046,nm0826554,nm0280223,nm0560857"
2041,"tt0025863","nm0560395","nm0560395"
6149,"tt0025878","nm0886754","nm0352443,nm0329304,nm0358591"
6464,"tt0025913","nm0726166","nm0726166,nm0752193,nm1168002"
3439,"tt0026752","nm0515979","nm0421255,nm0299154,nm0933133,nm0635079,nm0355681,nm0004290,nm0268513"
156,"tt0026778","nm0939992,nm0332539","nm0442151,nm0753452,nm0570130,nm0000036,nm0090213,nm0436095,nm0649183,nm0685265,nm0748438,nm0780833,nm0933133"
186,"tt0026991","nm0006943","nm0650540,nm0067676"
757,"tt0027366","nm0394477","nm0052989,nm0477437"
1909,"tt0027623","nm0826873,nm0853028","nm0713204,nm0826873,nm0642150,nm0687741,nm0225458"
5812,"tt0027703","nm0252388","nm0252388,nm0946281"
2377,"tt0027742","nm0245385","nm0107756,nm0253697,nm0665875,nm0107130,nm0396876"
5620,"tt0027869","nm0782707","nm0178126,nm0242897,nm0049721,nm0673585,nm0601086"
3344,"tt0027977","nm0000122","nm0000122"
3402,"tt0027996","nm0001008","nm0728307,nm0445502"
3464,"tt0028010","nm0478441","nm0753452,nm0368719,nm0015399,nm0478441,nm0696190"
3588,"tt0028037","nm0172151","nm0206802,nm0426515,nm0088759,nm0548993,nm0755262"
4245,"tt0028212","nm0000033","nm0175676,nm0071657,nm0067308,nm0801026,nm0256532"
4606,"tt0028291","nm0547446","nm0275255,nm0471341,nm0045512"
4804,"tt0028333","nm0828419","nm0512231,nm0778818,nm0312510,nm0391750,nm0416861,nm0892044,nm0949130"
6316,"tt0028358","nm0580017","nm0920229"
6173,"tt0028404","nm0627864","nm0627454,nm0640784"
3946,"tt0028528","nm0156160","nm0688238"
4934,"tt0028567","nm0155469","nm0009766,nm0155469"
4967,"tt0028597","nm0564970","nm0217568,nm0725017,nm0118227"
571,"tt0028601","nm0128715","nm0271641,nm0750822,nm0107130,nm0791643,nm0518979,nm0497738,nm0936428"
714,"tt0028627","nm0833965","nm0000252,nm0517567,nm0272592,nm0209490,nm0442605"
117,"tt0028772","nm0939992","nm0685265,nm0780833,nm0649183,nm0090213,nm0330390,nm0442151,nm0933133"
3311,"tt0029250","nm0386785","nm0057467"
3725,"tt0029365","nm0293260,nm0397678","nm0792845,nm0083742,nm0670874,nm0178785,nm0934497"
6389,"tt0029736","nm0109264","nm0109264,nm0657535,nm0810191"
4923,"tt0029843","nm0002031,nm0445033","nm0706993,nm0589316,nm0500284"
6907,"tt0029860","nm0072328,nm0258506","nm0524502"
414,"tt0029870","nm0002031","nm0923333,nm0240417,nm0114602,nm0372942,nm0531269"
1785,"tt0030114","nm0385171","nm0272037"
2073,"tt0030169","nm0190516","nm0038428,nm0002087,nm0747233,nm0869389,nm0870052,nm0922264"
2153,"tt0030190","nm0258015","nm0381280,nm0907003,nm0502424,nm0544579,nm0171874,nm0049898"
5597,"tt0030341","nm0000033","nm0924781,nm0319148,nm0490950"
3200,"tt0030418","nm0886754,nm0245213","nm0921995,nm0829330,nm0883328,nm0959003,nm0015399,nm0280234,nm0290863,nm0388755,nm0421255,nm0486538,nm0792845,nm0933133"
3913,"tt0030643","nm0138893","nm0241409,nm0699535"
6886,"tt0030993","nm0001008","nm0728307,nm0442151,nm0366454"
1442,"tt0031225","nm0550892","nm0413519,nm0700717,nm0616730,nm0062738"
2078,"tt0031359","nm0225555","nm0358096,nm0712653,nm0092658"
2162,"tt0031381","nm0281808,nm0002030,nm0939992","nm0593565,nm0397608,nm0308177,nm0372942,nm0842485,nm0886668"
5502,"tt0031455","nm0226189","nm0397022,nm0290863,nm0401076"
2702,"tt0031505","nm0000033","nm0238898,nm0319148,nm0365661,nm0697362"
5715,"tt0031619","nm0001843","nm0241416,nm0115482"
3412,"tt0031679","nm0001008","nm0118227,nm0287931,nm0175333"
3573,"tt0031725","nm0523932","nm0102818,nm0000697,nm0281556,nm0501872"
5352,"tt0031757","nm0221423","nm0337837,nm0221423,nm0457070,nm0950109"
3675,"tt0031762","nm0001328","nm0299154,nm0001328,nm0341178,nm0710299"
4144,"tt0031863","nm0103975","nm0437189,nm0562372,nm0664022,nm0043081,nm0624535"
5995,"tt0031867","nm0909825","nm0907003,nm0531335,nm0744035,nm0375446,nm0049898,nm0231893,nm0923333"
1819,"tt0032455","nm0019282,nm0035899,nm1968474,nm0272568,nm0359457,nm0359610,nm0373429,nm0414144,nm0527217,nm0730860,nm0766402,nm0789313","nm0335469,nm0400056,nm0086293,nm0687624,nm0226679,nm0390839,nm0942687,nm0372604,nm0538164,nm0373871,nm0668998,nm0266338,nm0553200,nm0857936,nm0827963,nm0572689,nm0257481,nm0810324,nm0672093,nm0754836,nm0670328,nm0821707,nm0335296,nm6773872"
5405,"tt0032551","nm0000406","nm0425913,nm0825705"
5409,"tt0032553","nm0000122","nm0000122"
2384,"tt0032599","nm0001328","nm0496468,nm0372942,nm0531269,nm0753452"
141,"tt0032714","nm0554249","nm0850168,nm0700717,nm0428177,nm0325785"
5849,"tt0032884","nm0825596","nm0104758,nm0504086"
6403,"tt0033172","nm0569697","nm0202590,nm0651000"
1122,"tt0033467","nm0000080","nm0542534,nm0000080,nm0002144,nm0219670,nm0448809"
1561,"tt0033553","nm0281808","nm0536941,nm0829044,nm0372698,nm0388755,nm0651585"
1624,"tt0033563","nm0035899,nm0272568,nm0414144,nm0455741,nm0730860,nm0789313,nm0254675","nm0335469,nm0400056,nm0257481,nm0670328,nm0061284,nm0727370,nm0821707,nm0810324,nm0008673,nm2927785"
2373,"tt0033717","nm0909825","nm0001379,nm0122446"
2466,"tt0033729","nm0000406","nm0242897,nm0515751"
5595,"tt0033804","nm0002545","nm0388743,nm0002545"
5659,"tt0033836","nm0943758","nm0375484,nm0462111,nm0662213,nm0132180"
3397,"tt0033922","nm0000033","nm0469915"
3968,"tt0034073","nm0736610","nm0121798,nm0522871,nm0453885"
4348,"tt0034167","nm0001328","nm0277874,nm0151310,nm0462321,nm0001379,nm0948663,nm0804097,nm0184633"
4749,"tt0034240","nm0002545","nm0002545"
6544,"tt0034337","nm0792605","nm0337084,nm0562372,nm0308177"
6272,"tt0034398","nm0905729","nm0802561"
5198,"tt0034636","nm0363356","nm0365296,nm0442151,nm0700791,nm0930178,nm0941233"
1653,"tt0034694","nm0587277","nm0744035,nm0940827"
2395,"tt0034862","nm0762263,nm0020980","nm0083125,nm0723418,nm0000927,nm0391750,nm0492635,nm0616893,nm0841702"
5704,"tt0035015","nm0000080,nm0281381,nm0936404","nm0850483,nm0000080,nm0001072,nm0608986"
3415,"tt0035093","nm0943758","nm0934497,nm0296207,nm0385264,nm0921995,nm0835369,nm0651585,nm0792670,nm0928295"
5857,"tt0035169","nm0002545","nm0002545,nm0480677"
2814,"tt0035423","nm0003506","nm0737216,nm0003506"
6872,"tt0035575","nm0002031","nm0118758,nm0430578,nm0258493,nm0258525"
616,"tt0035665","nm0385171","nm0004170,nm0572876,nm0841408,nm0292134"
1441,"tt0035800","nm0782682,nm0258015","nm0915693,nm0578439,nm0153698"
1947,"tt0035896","nm0939992","nm0629580,nm0002133,nm0111313,nm0534221"
2320,"tt0035979","nm0523932","nm0710723,nm0124224"
2526,"tt0036027","nm0869664","nm0802561,nm0942027,nm0908681,nm0111576"
5648,"tt0036112","nm0003836,nm0696247","nm0003836,nm0696247"
4913,"tt0036191","nm0902082","nm0119279,nm0477696,nm0711474"
159,"tt0036203","nm0908831","nm0283133,nm0377127,nm0740426,nm1068227"
3694,"tt0036239","nm0596410","nm0612924,nm0512528"
5851,"tt0036244","nm0920074","nm0873707,nm0888099"
4378,"tt0036342","nm0000033","nm0928642,nm0072639,nm0720904,nm0568060"
1355,"tt0036506","nm0003433","nm0003433,nm0461743,nm0478479,nm0804736,nm0927558"
479,"tt0036613","nm0001008","nm0258493,nm0258525,nm0450279"
5153,"tt0036720","nm0627864","nm0768536,nm2088577,nm0775419"
1544,"tt0036775","nm0000697","nm0000697,nm0151452,nm0128906"
5002,"tt0036868","nm0943758","nm0792845,nm0437969"
2947,"tt0037008","nm0695937,nm0541149","nm0143837,nm0237225,nm0388755,nm0718101,nm0488057"
3432,"tt0037101","nm0229424","nm0668122,nm0151452"
4753,"tt0037325","nm0802862","nm0500284,nm0858329,nm0155009,nm0802862"
6339,"tt0037369","nm0086251","nm0869389,nm0168759"
6806,"tt0037465","nm0454771","nm0873707"
6278,"tt0037469","nm0000485","nm0425913,nm0909260"
407,"tt0037515","nm0163229","nm0002005,nm0629580"
898,"tt0037558","nm0000180","nm0002021,nm0369743,nm0000180,nm0623768"
1469,"tt0037642","nm0075318","nm0852338,nm0332333"
1096,"tt0037674","nm0138893","nm0699535"
1359,"tt0037739","nm0211459,nm0004531,nm0656496,nm0899581","nm4559112,nm0053260"
5691,"tt0037884","nm0000697","nm0413352,nm0102818,nm0000697"
3304,"tt0037913","nm0002031","nm0532030,nm0128906,nm0001203,nm0344391,nm0540816,nm0682787,nm0877957,nm0928603,nm0932163"
4295,"tt0038057","nm0000485","nm0478579,nm0610207,nm0629580"
6157,"tt0038166","nm0272568,nm0314671,nm0455741,nm0730860,nm0949597","nm0109205,nm0855804,nm0780799,nm0670328,nm0942723,nm0687624,nm0931614,nm0183183,nm0174974,nm0091069,nm0335469,nm0400056,nm0810324"
1434,"tt0038345","nm0002158","nm0002158,nm0515594,nm0786342"
2621,"tt0038643","nm0946391","nm0108579,nm0115218,nm0287124,nm0912498"
3162,"tt0038718","nm0179994,nm0314671,nm0455741,nm0527217,nm0575008","nm0109205,nm0400056,nm0455733,nm0906929,nm0649603,nm0789693,nm0348687,nm0390839,nm0373429,nm0672093,nm0447039,nm0091069,nm0931614,nm0550581,nm0334030,nm0006241,nm0850895,nm0857203,nm3085481"
3449,"tt0038762","nm0000406","nm0257143,nm0588003,nm0375500,nm0482193"
4165,"tt0038888","nm0029049","nm0461390,nm0029049,nm0947640,nm0214518"
4196,"tt0038890","nm0744023","nm0024847,nm0000019,nm0744023,nm0175924"
4566,"tt0038969","nm0287836,nm0414144","nm0721468,nm0335577,nm0710683,nm0364873,nm0670328,nm0942723,nm0821707"
6110,"tt0038991","nm0000080","nm0892044,nm0873193,nm0242938,nm0000080,nm0001379"
5024,"tt0039190","nm0467396","nm0792845,nm0073394,nm0622251,nm0000697,nm0102818"
762,"tt0039192","nm0003836,nm0696247","nm0323869,nm0003836,nm0696247"
773,"tt0039194","nm0782947","nm0170763,nm0068853,nm0218626"
1333,"tt0039302","nm0202681","nm0202681,nm0328959"
2042,"tt0039404","nm0455741,nm0527217,nm0605093,nm0730860","nm0109205,nm0716206,nm0780799,nm0634486,nm0214111,nm0649603,nm0507760,nm0159767,nm0183183,nm0373429,nm0670328,nm0850895"
2088,"tt0039417","nm0744023","nm0744023,nm0515491,nm0464378,nm0024847,nm0289974"
393,"tt0039485","nm0466099","nm0928492,nm0083742"
3321,"tt0039628","nm0780833","nm0780833,nm0204016"
3362,"tt0039631","nm0000122","nm0000122,nm0000080"
3171,"tt0039823","nm0163229","nm0163229"
6372,"tt0039903","nm0802563","nm0277874,nm0513563,nm0276019"
6504,"tt0039925","nm0950662","nm0900172,nm1160727"
4628,"tt0039954","nm0017893","nm0017893,nm0711222,nm0806099"
576,"tt0039989","nm0461497","nm0762392,nm0153106,nm0712653,nm0922589"
215,"tt0040068","nm0059106,nm0487237","nm0498738,nm0727411,nm0335471,nm0791217,nm0831290"
425,"tt0040098","nm0245213","nm0030478,nm0604698,nm0245213,nm0866243"
3984,"tt0040335","nm0002175,nm0005674,nm0294094,nm0806692","nm0560857,nm0792670"
1963,"tt0040369","nm0000406","nm0637793,nm0068650"
2169,"tt0040395","nm0564970","nm0257700,nm0564970,nm0460029"
2668,"tt0040479","nm0572851","nm0106764,nm0592679,nm0634283,nm0833879"
2825,"tt0040506","nm0001379","nm0112218,nm0001379,nm0027173"
712,"tt0040522","nm0001120","nm0953790,nm0059030,nm0080755,nm0147599,nm0001120,nm0290000,nm0315657,nm0346291"
5596,"tt0040525","nm0000080","nm0455271,nm0000080,nm0145336,nm0496468,nm0548529"
3265,"tt0040580","nm0314671,nm0414144,nm0455741,nm0527217","nm0382548,nm0672093,nm0716206,nm0109205,nm0027011,nm0780799,nm0727370,nm0183183,nm0778852,nm0550581,nm0600954,nm0906929,nm0334517"
3347,"tt0040603","nm0064415","nm0394890,nm0044784"
6176,"tt0040897","nm0001379","nm0001379,nm0871252"
6462,"tt0040904","nm0946391","nm0139015,nm0552202"
1612,"tt0040979","nm0000041","nm0879939,nm0000041"
4918,"tt0041094","nm0019282,nm0314671,nm0455741","nm0410331,nm0334370,nm0672093,nm0382548,nm0727370,nm0780799,nm0109205,nm0716206"
329,"tt0041113","nm0744035","nm0913014,nm0744035"
2945,"tt0041154","nm0654868","nm0386426,nm0633792,nm0654868"
5035,"tt0041190","nm0490950","nm0821070,nm0047786,nm0389580,nm0490950"
2124,"tt0041414","nm0041642","nm0171372,nm0488435"
2186,"tt0041424","nm0004573","nm0386973,nm0523810,nm0367556"
2726,"tt0041523","nm0548529","nm0548529,nm0566333,nm0736275"
2852,"tt0041546","nm0357607","nm0395170,nm0357607,nm0226538,nm0593867"
3145,"tt0041615","nm0591486","nm0034124,nm0281306"
3303,"tt0041650","nm0774325","nm0741656,nm0178260"
3646,"tt0041716","nm0002045,nm0000037","nm0337582,nm0173679,nm0730385"
3700,"tt0041719","nm0168413","nm0168413"
4064,"tt0041789","nm0066247","nm0066247,nm0650259,nm0880489"
4398,"tt0041866","nm0000406","nm0068650,nm0637793,nm0821716"
6153,"tt0041959","nm0715346","nm0001294,nm0000080,nm0466099,nm0715346"
326,"tt0041977","nm0004454","nm0797575"
315,"tt0042192","nm0000581","nm0000581,nm0650581"
5380,"tt0042194","nm0167496","nm0062139,nm0084415,nm0098204,nm0167496"
4957,"tt0042208","nm0001379","nm0534693,nm0001379,nm0122446"
1331,"tt0042379","nm0226189","nm0524188,nm0546140,nm0295786"
5165,"tt0042446","nm0744185","nm0303075,nm0346097,nm0031196,nm0872689,nm0744185"
2225,"tt0042530","nm0507390","nm0437969,nm0442228,nm0874308"
2561,"tt0042593","nm0712947","nm0813584,nm0636002,nm0400568"
1462,"tt0042619","nm0000975","nm0076111,nm0000975"
2860,"tt0042646","nm0071682,nm0554249","nm0222079,nm0353584"
3548,"tt0042788","nm0202088","nm0252100,nm0449946,nm0218778,nm0915252"
6295,"tt0042804","nm0000320","nm0017274,nm0041255,nm0000320,nm0488601,nm0211993"
4034,"tt0042876","nm0000041","nm0015611,nm0000041,nm0368074"
4758,"tt0043014","nm0000697","nm0102818,nm0000697,nm0551261"
6810,"tt0043137","nm0542649","nm0724307,nm0153698,nm0482193"
4926,"tt0043265","nm0001379","nm0286163,nm0012938,nm0001379,nm0171924,nm0896830"
1670,"tt0043269","nm0945428","nm0644823,nm0945428"
388,"tt0043278","nm0591486","nm0503585"
235,"tt0043338","nm0000697","nm0000697,nm0760488,nm0628305,nm0221528"
5208,"tt0043456","nm0936404","nm0636002,nm0060915"
2056,"tt0043572","nm0494110","nm1861965,nm0087579"
3062,"tt0043751","nm0792605","nm0153698,nm0261455"
172,"tt0043924","nm0828419","nm0237439,nm0443966,nm0933858,nm0113689"
5936,"tt0043938","nm0521334","nm0858329,nm0928915,nm0124947,nm0874308"
3997,"tt0043949","nm0503777,nm0542649","nm0536941,nm0067103,nm0397022,nm0797197,nm0336682"
858,"tt0044029","nm0455839","nm1729329,nm0455839,nm0849068"
4714,"tt0044079","nm0000033","nm0151452,nm0650262,nm0177336,nm0383604,nm0372942"
4889,"tt0044119","nm0907779","nm0397220"
6152,"tt0044121","nm0638528,nm0001328","nm0496468,nm0132168,nm0001328,nm0372942"
4973,"tt0044391","nm0591486","nm0773660,nm0103488"
956,"tt0044465","nm0110505","nm0840733,nm0110505"
1835,"tt0044603","nm0172485","nm0223207,nm0688853"
5423,"tt0044672","nm0001124","nm0290931,nm0528530,nm0820693,nm0147119,nm0307471"
2550,"tt0044741","nm0000041","nm0000041,nm0368074,nm0644823"
3190,"tt0044883","nm0656528","nm0656528"
3447,"tt0044937","nm0467396","nm0425913,nm0238898"
5788,"tt0044953","nm0542649","nm0738222,nm0089169"
4466,"tt0045152","nm0002045,nm0000037","nm0173679,nm0337582"
6358,"tt0045237","nm0041678","nm0303930,nm0564610"
6528,"tt0045274","nm0001120","nm0953790"
6642,"tt0045296","nm0001415","nm0825705,nm0683874"
6752,"tt0045324","nm0113284","nm0455510,nm0773660,nm0118758"
4977,"tt0045537","nm0591486","nm0173679,nm0337582,nm0181658,nm0503585"
5012,"tt0045555","nm0000485","nm0091213,nm0569423"
1851,"tt0045758","nm0000040","nm0755274"
2031,"tt0045793","nm0003593","nm0850168,nm0428296"
2084,"tt0045810","nm0001328","nm0496468,nm0276284,nm0002616"
2413,"tt0045883","nm0268513","nm0335455,nm0478263"
2462,"tt0045888","nm0211964","nm0928108,nm0067676"
2506,"tt0045897","nm0000033","nm0846068,nm0033780,nm0030786"
5631,"tt0045996","nm0704841","nm0104261,nm0105734,nm0345102"
3578,"tt0046130","nm0071657","nm0071657"
3835,"tt0046187","nm0002087","nm0002087,nm0852313"
4057,"tt0046231","nm0319241","nm0319241"
5996,"tt0046247","nm0467396","nm0242897,nm0442456,nm0235160,nm0540816"
4191,"tt0046250","nm0943758","nm0874308,nm0402848,nm0226538"
6228,"tt0046268","nm0167241","nm1064118,nm0167241,nm0167242"
4755,"tt0046345","nm0000005","nm0283910,nm0000005"
6397,"tt0046438","nm0654868","nm0633792,nm0654868"
6521,"tt0046478","nm0003226","nm0875306,nm0879907,nm0442736,nm0406808,nm1218390"
3361,"tt0046487","nm0004244","nm0004244,nm0549804,nm0041311,nm0481401"
2760,"tt0046511","nm0744023","nm0104329,nm0744023,nm0171372,nm0682881"
6233,"tt0046534","nm0005738","nm0920229,nm0528530"
37,"tt0046672","nm0281507","nm0271641,nm0894523"
3953,"tt0046730","nm0525544","nm0314053"
5088,"tt0046816","nm0229424","nm0731592,nm0087581,nm0941883"
1259,"tt0046876","nm0000791","nm0261400,nm0743232,nm0956592,nm0020041"
1458,"tt0046911","nm0167241","nm0092267,nm0092268,nm0167241,nm0167242,nm0557510,nm0340190"
1459,"tt0046912","nm0000033","nm0461425"
1545,"tt0046927","nm0819806","nm0552202"
395,"tt0047119","nm0357891","nm0697362,nm0204473"
2749,"tt0047136","nm0712947","nm0948634,nm0151949,nm0712947"
3647,"tt0047296","nm0001415","nm0775977,nm0425711,nm0802563"
1850,"tt0047336","nm0744023","nm0959003,nm0024847,nm0744023,nm0903130"
4049,"tt0047396","nm0000033","nm0371088,nm0941280"
3986,"tt0047401","nm0238810","nm0029274,nm0173952,nm0241416,nm0304098"
4268,"tt0047445","nm0003226","nm0605286,nm0297687,nm0406808"
4354,"tt0047472","nm0002045","nm0352443,nm0329304,nm0455510,nm0070948"
4359,"tt0047478","nm0000041","nm0000041,nm0368074,nm0644823"
6304,"tt0047573","nm0235066","nm0792090,nm0400914,nm0946753"
6769,"tt0047673","nm0002031","nm0469915,nm0659085,nm0291035"
327,"tt0047811","nm0802862","nm0272128,nm0497209,nm0497374"
