"nconst","primaryName","knownForTitles"
"nm0000197","Jack Nicholson","tt0071315,tt0119822,tt0073486,tt0407887"
"nm0000198","Gary Oldman","tt1340800,tt0468569,tt4555426,tt0103874"
"nm0000199","Al Pacino","tt0070666,tt0072890,tt0068646,tt0099422"
"nm0000200","Bill Paxton","tt0090605,tt0264616,tt0117998,tt0112384"
"nm0000201","Michelle Pfeiffer","tt0097322,tt0161081,tt0117247,tt0427327"
"nm0000202","Ryan Phillippe","tt0375679,tt0280707,tt0139134,tt0120577"
"nm0000203","River Phoenix","tt0102494,tt0092005,tt0091557,tt0096018"
"nm0000204","Natalie Portman","tt0947798,tt0434409,tt0376541,tt0110413"
"nm0000205","Parker Posey","tt0134084,tt0348150,tt0359013,tt0106677"
"nm0000206","Keanu Reeves","tt0133093,tt0111257,tt0102685,tt0234215"
"nm0000207","Christina Ricci","tt0118789,tt0112642,tt0811080,tt0100140"
"nm0000208","Molly Ringwald","tt0088128,tt0088847,tt0091790,tt0095169"
"nm0000209","Tim Robbins","tt0327056,tt0105151,tt0091225,tt0112818"
"nm0000210","Julia Roberts","tt0100405,tt0195685,tt0119738,tt0376541"
"nm0000211","Mimi Rogers","tt0210070,tt0120738,tt0488085,tt0118655"
"nm0000212","Meg Ryan","tt0098635,tt0128853,tt0108160,tt0120632"
"nm0000213","Winona Ryder","tt0110367,tt0100140,tt0172493,tt0118583"
"nm0000214","Mia Sara","tt0111438,tt0091042,tt0089469,tt0312098"
"nm0000215","Susan Sarandon","tt0103074,tt0112818,tt0120686,tt0109446"
"nm0000216","Arnold Schwarzenegger","tt0103064,tt0216216,tt0088247,tt0107362"
"nm0000217","Martin Scorsese","tt5537002,tt0075314,tt0070379,tt0099685"
"nm0000218","Kristin Scott Thomas","tt0280707,tt0116209,tt0109831,tt1602613"
"nm0000219","Steven Seagal","tt0110725,tt0094602,tt0105690,tt0114781"
"nm0000221","Charlie Sheen","tt0369179,tt0108333,tt0094291,tt0107144"
"nm0000222","Brooke Shields","tt0080453,tt0078111,tt0082329,tt0080116"
"nm0000223","Elisabeth Shue","tt0113627,tt0092513,tt0120053,tt0164052"
"nm0000224","Alicia Silverstone","tt0112697,tt0118688,tt0124298,tt0119086"
"nm0000225","Christian Slater","tt0108399,tt0124198,tt0102798,tt0115759"
"nm0000226","Will Smith","tt0098800,tt0119654,tt0480249,tt0116629"
"nm0000227","Mira Sorvino","tt0113819,tt0120008,tt0364343,tt0120032"
"nm0000228","Kevin Spacey","tt0119488,tt0114814,tt0169547,tt0114369"
"nm0000229","Steven Spielberg","tt0108052,tt0083866,tt0120815,tt0082971"
"nm0000230","Sylvester Stallone","tt0075148,tt0089927,tt3076658,tt0084602"
"nm0000231","Oliver Stone","tt0102138,tt0091763,tt0096969,tt0110632"
"nm0000232","Sharon Stone","tt0103772,tt0112641,tt0114214,tt0108162"
