"nconst","id","tconst.x","primaryTitle","isAdult","rel_date","startYear","genres","tconst.y","category","primaryName","knownForTitles"
"nm0875354",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","writer","Shin'ya Tsukamoto","tt0096251,tt0330904,tt0114690,tt0417243"
"nm0875354",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","producer","Shin'ya Tsukamoto","tt0096251,tt0330904,tt0114690,tt0417243"
"nm0875354",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","cinematographer","Shin'ya Tsukamoto","tt0096251,tt0330904,tt0114690,tt0417243"
"nm0875354",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","director","Shin'ya Tsukamoto","tt0096251,tt0330904,tt0114690,tt0417243"
"nm0875354",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","editor","Shin'ya Tsukamoto","tt0096251,tt0330904,tt0114690,tt0417243"
"nm0875354",4879,"tt0096251","Tetsuo: The Iron Man","0","1989-07-01","1989","Horror,Sci-Fi","tt0096251","actor","Shin'ya Tsukamoto","tt0096251,tt0330904,tt0114690,tt0417243"
"nm1014697",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","composer","Ramin Djawadi","tt0944947,tt0371746,tt0475784,tt1663662"
"nm1293367",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","writer","Larry Lieber","tt0371746,tt0478970,tt4154796,tt10648342"
"nm1411347",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","writer","Don Heck","tt0371746,tt4154796,tt6791350,tt1300854"
"nm1436466",2659,"tt0371746","Iron Man","0","2008-04-30","2008","Action,Adventure,Sci-Fi","tt0371746","writer","Art Marcum","tt0371746,tt3371366,tt1464335,tt2283336"
"nm1582709",2660,"tt1228705","Iron Man 2","0","2010-04-28","2010","Action,Sci-Fi","tt1228705","casting_director","Corinne Renard-Bendjadi","tt1103153,tt1228705,tt4477536,tt4465564"
